Sens,Spec,Pre,Recall,Accuracy
0.929,0.992,0.995,0.929,95.14
0.929,0.992,0.995,0.929,95.14
0.929,0.992,0.995,0.929,95.14
0.929,0.992,0.995,0.929,95.14
0.929,0.992,0.995,0.929,95.14
0.924,0.992,0.995,0.924,94.86
0.929,0.992,0.995,0.929,95.14
0.933,0.992,0.995,0.933,95.43
0.929,0.992,0.995,0.929,95.14
