Kernel,Sens,Spec,Pre,Recall,Accuracy
K1,0.929,0.992,0.995,0.929,95.14
K2,0.929,0.992,0.995,0.929,95.14
K3,0.929,0.992,0.995,0.929,95.14
K4,0.929,0.992,0.995,0.929,95.14
K5,0.929,0.992,0.995,0.929,95.14
K6,0.924,0.992,0.995,0.924,94.86
K7,0.929,0.992,0.995,0.929,95.14
K8,0.933,0.992,0.995,0.933,95.43
K9,0.929,0.992,0.995,0.929,95.14
